Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5ITV0zqzjOYfFWpW0xBmRa,"Show Me Love","Show Me Love","WizTheMc,bees & honey",2025-02-07,176965,95,false,teage03,2025-03-25T02:06:33Z,"","Bamboo Artists",0.714,0.691,1,-7.333,1,0.0434,0.0212,0.000292,0.111,0.155,107.15,4
spotify:track:7ETIZFr7163zFcz3RxKk5O,"The First Time","FUNNY little FEARS","Damiano David",2025-05-16,218266,87,false,teage03,2025-06-30T10:25:58Z,"","Sony Music Italy / Arista Records",0.545,0.899,9,-3.818,1,0.121,0.00194,0,0.279,0.656,128.779,4
spotify:track:1UPB5rYJ0bzn6mNSoAHrZC,"You'll Be in My Heart","You'll Be In My Heart","NIKI",2022-09-14,241776,93,false,teage03,2025-05-04T19:49:10Z,"","88rising Music",0.486,0.613,9,-8.748,1,0.0394,0.0569,0.00139,0.126,0.633,187.531,4
spotify:track:0TwKov50GELgwuAW4I3oeN,"ALL MY LOVE - PNAU x Coldplay","ALL MY LOVE (PNAU x Coldplay)","Coldplay,PNAU",2024-11-29,194560,66,false,teage03,2025-03-10T06:40:44Z,"","Parlophone UK",0.692,0.908,9,-9.325,1,0.0755,0.213,0.0118,0.0797,0.52,138.003,4
spotify:track:2QuQkdLLzgktXwruPAz6f4,"White Lies","White Lies","VIZE,Tokio Hotel",2021-01-15,183588,60,false,teage03,2021-02-22T20:42:21Z,"slap house","Epic Local",0.839,0.751,1,-5.208,0,0.0924,0.177,0,0.067,0.525,127.996,4
spotify:track:1Oae67sHC45sBQMrYhMiWF,"Greatest Day (feat. Calum Scott) - Robin Schulz Rework","Greatest Day (feat. Calum Scott) [Robin Schulz Rework]","Take That,Robin Schulz,Calum Scott",2023-05-05,164878,59,false,teage03,2025-03-26T08:27:45Z,"tropical house,soft pop","EMI",0.572,0.819,1,-7.456,1,0.0848,0.0162,0,0.0887,0.18,122.977,4
spotify:track:1musbempyJAw5gfSKZHXP9,"Anxiety","Anxiety","Doechii",2025-03-05,249302,90,true,teage03,2025-03-09T07:52:03Z,"","Top Dawg Entertainment/Capitol Records",0.808,0.594,0,-6.838,1,0.0373,0.338,0.00054,0.105,0.888,129.023,4
spotify:track:0L1e4NytVRR42Ip0KPVgdv,"Hausparty","Hausparty","RIAN",2025-05-16,151437,65,false,teage03,2025-06-30T10:25:58Z,"german pop,german indie","Born & Raised/Warner Music Central Europe",0.964,0.687,1,-7.762,0,0.0705,0.169,0.00000569,0.0912,0.965,129.964,4
spotify:track:6393yGahSJ9slVdOwSxOVR,"Pink Pony Club","The Rise and Fall of a Midwest Princess","Chappell Roan",2023-09-21,258034,88,false,teage03,2025-03-09T07:52:03Z,"","Chappell Roan PS/ Island",0.61,0.65,6,-6.199,1,0.0474,0.399,0,0.11,0.507,106.719,4
spotify:track:6qqrTXSdwiJaq8SO0X2lSe,"Ordinary","Ordinary","Alex Warren",2025-02-07,186964,97,false,teage03,2025-03-09T07:52:03Z,"","Atlantic Records",0.446,0.682,2,-6.229,1,0.0497,0.739,0.00000951,0.0562,0.382,112.252,4
spotify:track:5G2f63n7IPVPPjfNIGih7Q,"Taste","Short n' Sweet","Sabrina Carpenter",2024-08-23,157279,92,false,teage03,2025-01-25T22:11:07Z,"","Island Records",0.674,0.907,3,-4.086,1,0.064,0.101,0,0.297,0.721,112.964,4
spotify:track:7xrEnNo99wrmIs8ZK3RZMK,"WE PRAY","Moon Music","Coldplay,Little Simz,Burna Boy,Elyanna,TINI",2024-10-04,233406,73,false,teage03,2025-03-09T08:01:41Z,"afrobeats,afrobeat,afropop,afroswing,dancehall,afropiano,latin pop","Parlophone UK",0.745,0.52,5,-8.048,0,0.0559,0.0674,0.0000506,0.0746,0.673,135.956,4
spotify:track:2CGNAOSuO1MEFCbBRgUzjd,"luther (with sza)","GNX","Kendrick Lamar,SZA",2024-11-21,177598,92,false,teage03,2025-03-09T07:52:03Z,"hip hop,west coast hip hop,r&b","pgLang, under exclusive license to Interscope Records",0.707,0.575,2,-7.546,1,0.125,0.251,0,0.248,0.576,138.008,4
spotify:track:726SEjbF3ToEbYbn43gnxl,"Nice To Meet You","A Minute...","Myles Smith",2024-11-08,176000,83,false,teage03,2025-01-03T15:51:57Z,"","RCA Records Label",0.762,0.783,5,-5.206,0,0.0387,0.329,0,0.0536,0.84,115.091,4
spotify:track:74lOK0Z3WKvTpK8W8Srj1d,"Touch Me","Touch Me","ÁSDÍS",2024-11-29,203876,58,false,teage03,2025-03-09T08:02:24Z,"","WEFOR",0.724,0.76,1,-5.291,1,0.0341,0.0802,0,0.087,0.825,125.038,4
